"creators_name.family","creators_name.given","title","date","related_url","pages_aacr","thesis_degree_name"
"Abdullah","Abu Nasser Mohammed","Formal analysis and verification of an OFDM modem design ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2006 A23","xiii, 136 leaves : ill. ; 29 cm.","M.A. Sc."
"Abed","Sa'ed Rasmi H","The verification of MDG algorithms in the HOL theorem prover ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44P 2008 A24","xv, 156 leaves : ill. ; 29 cm.","Ph. D."
"Abelleira","Elsa Carmen","E.L. Doctorow as historical novelist : a Lukácsian perspective ","1986","http://clues.concordia.ca/search/c?SEARCH=PS 3554 O3Z22+ 1986","iv, 217 leaves ; 29 cm.","Theses (M.A.)"
"Aberg","Peter","Confined flow past oversized bluff bodies ","1989","http://clues.concordia.ca/search/c?SEARCH=QA 913 A17+ 1989","xv, 43 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Aberman","Liliane","The imaginal experience through art as a vehicle to personal meaning : a use of Jung's concept of amplification as seen through an art therapy student's exploration of personal transformation in her artwork ","1987","http://clues.concordia.ca/search/c?SEARCH=N 71 A16+ 1987","131 leaves : 49 ill. (some col.), facsims. ; 29 cm.","Theses (M.A.)"
"Abi-Aad","Rony","A new user model to support electronic commerce ","2001","http://clues.concordia.ca/search/c?SEARCH=QA 76.9 U83A25 2001","vii, 78 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Abikhzer","Corinne","Towards a paradigm for the use of best practices in expatriate management : a study of four Canadian multinationals ","1999","http://clues.concordia.ca/search/c?SEARCH=HF 5549.5 E45A25 1999","v, 147 leaves ; 29 cm.","Theses (M.Sc.Admin.)"
"Abiri","Mohammad A","A novel approach for the generation of two-variable very strict Hurwitz polynomials and applications in the design of stable two-dimensional recursive digital filters ","1988","http://clues.concordia.ca/search/c?SEARCH=TK 7872 F5A18+ 1988","xix, 150 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Abizaid","Alfonso","Changes in NPY staining in the arcuate nucleus during and after food restriction in lactating rats ","1996","http://clues.concordia.ca/search/c?SEARCH=QP 552 N38A25 1996","vii, 64 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Abizaid","Alfonso","Food restriction attenuates the hormonal and neuronal responses to the positive feedback effects of estradiol to prolong lactational diestrus in rats ","2002","http://clues.concordia.ca/search/c?SEARCH=QP 572 E8A25 2002","xi, 182 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Aboelkassem","Yasser","On the decay of strong concentrated columnar vortices ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 925 A26 2003","xiv, 117 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Abohalfya","Farhat M","On RG-spaces and the space of prime d-ideals in C(X)","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M38P 2010 A36","vii, 102 leaves : ill. ; 29 cm.","Ph. D."
"Abolhassani","Babak Samareh","Two-phase flow modeling of cold spray process ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2008 A26","xv, 139 leaves : ill. ; 29 cm.","M.A. Sc."
"Abou Saleh","Hassan A","Antenna selection and performance analysis of MIMO spatial multiplexing systems ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2008 A26","xvi, 84 leaves : ill. ; 29 cm.","M.A. Sc."
"Abou-Khousa","Mohamed A","Multipath detection in CDMA systems ","2005","http://clues.concordia.ca/search/c?SEARCH=TK 5103.452 A26 2005","xi, 97 leaves : ill. ; 29 cm.","M.A. Sc."
"Abou-Moustafa","Karim T","A generative-discriminative framework for time-series data classification ","2003","http://clues.concordia.ca/search/c?SEARCH=QA 280 A26 2003","xv, 86 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Aboud","Geneviève","Social capital and rural development : the case of Huntingdon, Quebec ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66G46M 2008 A26","vii, 81 leaves : ill. ; 29 cm.","M.A."
"Abougabal","Mohamed Said","Low sensitivity distributed RC active realization of rational transfer functions ","1974","http://clues.concordia.ca/search/c?SEARCH=TK 7872 F5A2","xx, 178 p. : ill. ; 29 cm.","Theses (D.Eng.)"
"Abouheif","Ehab","A comparative analysis of the allometry for sexual size dimorphism : testing Rensch's Rule ","1995","http://clues.concordia.ca/search/c?SEARCH=QP 278 A2 1995","vii, 95 leaves : ill. ; 29 cm.","Theses (M.Sc.)"
"Aboulamer","Anas","Relationship between country returns and country risk ratings revisited ","2003","http://clues.concordia.ca/search/c?SEARCH=HG 3751.5 A26 2003","ix, 76 leaves : ill. ; 29 cm.","Theses (M.Sc.Admin.)"
"Abraham","Christiana","Deconstructing the legacy of the 'Savage' woman : the politics of displacing boundaries of difference in Panache magazine ","2001","http://clues.concordia.ca/search/c?SEARCH=P 94.5 W65A27 2001","vi, 114 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Abraham","Rajiv","Model driven development : a comprehensive case study ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2007 A27","x, 108 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Abrahamowicz","Barbara","Effect of bilingualism on familiarity and recollection in recognition memory : application of a process dissociation paradigm ","1993","http://clues.concordia.ca/search/c?SEARCH=BF 311 A23 1993","x, 69 leaves ; 29 cm.","Theses (M.A.)"
"Abram","Zachary","Acquiescence and salvation : Colin McDougall's Execution and existential postwar Canadian literature ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E54M 2009 A27","v, 86 leaves ; 29 cm.","M.A."
"Abramovici","Eugen","Quantitative fractographic examination of aircraft components subjected to fatigue and damage tolerance testing ","1985","http://clues.concordia.ca/search/c?SEARCH=TL 671.6 A27+ 1985","ix, 197 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Abramson","Blanca Kister","Styles in Montreal architecture to 1925 : a learning resource ","1978","http://clues.concordia.ca/search/c?SEARCH=NA 747 M65A27 1978","198 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Abray","Thomas A","A jar of minnows ","2000","http://clues.concordia.ca/search/c?SEARCH=PS 8551 B73J37 2000","v, 163 leaves ; 29 cm.","M.A."
"Abu Dabous","Saleh","Relaxation of prestressed steel used in construction of the confederation bridge ","2000","http://clues.concordia.ca/search/c?SEARCH=TG 362 A28 2000","xv, 121 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Abu Dabous","Saleh","A decision support methodology for rehabilitation management of concrete bridges ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85P 2008 A28","xi, 211 leaves : ill. ; 29 cm.","Ph. D."
"Abu Talib","Manar","Building a tool for testing real time systems ","2004","http://clues.concordia.ca/search/c?SEARCH=QA 76.54 A38 2004","xi, 119 leaves : ill. ; 29 cm.","M.A. Sc."
"Abu Talib","Manar","Exploratory study on an innovative use of COSMIC-FFP for early quality assessment ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67P 2007 A28","x, 158 leaves ; 29 cm.","Ph. D."
"Abumazwed","Ahmed","Broadband dielectric resonator antennas for WLAN applications ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2009 A38","xvii, 108 leaves : ill. ; 29 cm.","M.A. Sc."
"Abumengel","Mustafa","Experimental investigations on shallow strip anchor plates in sand ","1987","http://clues.concordia.ca/search/c?SEARCH=TA 772 A18+ 1987","xv, 123 leaves : ill. (some mounted) ; 29 cm.","Theses (M.Eng.)"
"Acemian","Nancy","An algorithm development support system for the analysis of cardiac arrhythmia ","1992","http://clues.concordia.ca/search/c?SEARCH=RC 685 A65A2 1992","vii, 110 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Acharya","Ashwin L","Modeling, fabrication and testing of OLED and LED fluorescence integrated polymer microfluidic chips for biosensing applications ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43M 2007 A24","xxxii, 227 leaves : ill. ; 29 cm.","M.A.Sc."
"Achkar","Firas","Hysteresis-based selective Gaussian-Mixture model for real-time background update and object detection ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2006 A25","xii, 101 leaves : ill. ; 29 cm.","M.A. Sc."
"Ackerman","Sophie","Teaching art to handicapped children ","1978","http://clues.concordia.ca/search/c?SEARCH=LC 4025 A25+","74 leaves : ill. ; 29 cm. & slides (72 slides: col. ; 2x2 in.) bound in container, (29x23x3 cm.)","Theses (M.A.)"
"Acland","Joan Reid","Architecture and ideology : the National Gallery of Canada : a reading of the architecture, using feminist and postmodernist theory ","1989","http://clues.concordia.ca/search/c?SEARCH=N 910 O7A15+ 1989","v, 113 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Acland","Joan Reid","The native artistic subject and national identity : a cultural analysis of the architecture of the Canadian Museum of Civilization, designed by Douglas J. Cardinal ","1994","http://clues.concordia.ca/search/c?SEARCH=FC 21 C36A2 1994","vi, 266 leaves : ill., plans ; 29 cm.","Theses (Ph.D.)"
"Aczel","Joanne","3H-actinomycin D autoradiographic and Feulgen-cytophotometric investigation of the DNA content of normal hepatic cells and hepatoma cells.","1973","http://clues.concordia.ca/search/c?SEARCH=RC 280 L5A2+","93 leaves : ill.","Theses (M.Sc.)"
"Adagala","Esther Kavuka","An analysis of ETV organizational processes with reference to ETV implementation in Kenya ","1977","http://clues.concordia.ca/search/c?SEARCH=LB 1044.8 A33+","xiii, 254 leaves : ill. (1 fold.) ; 28 cm.","Theses (M.A.)"
"Adamidis","Eleni","Air infiltration : thermal behaviour of door frames ","1979","http://clues.concordia.ca/search/c?SEARCH=TH 2278 A32+","viii, 33 leaves : ill., graphs ; 29 cm.","Theses (M.Eng.)"
"Adamopoulos","Constantin D","Mos : metal oxide semiconductors ","1974","http://clues.concordia.ca/search/c?SEARCH=TK 7871.85 A3+","xii, 63 leaves : Ill. ; 29 cm.","Theses (M.Eng.)"
"Adams","Robert","A review of Tamburlaine criticism ","1974","http://clues.concordia.ca/search/c?SEARCH=PR 2669 A72+","vi, 94 leaves of pages ; 29 cm.","Theses (M.A.)"
"Adams","Keith Wesley","A practical harmony : pagan ecological attitudes and the Roman agricultural success in North Africa \","1991","http://clues.concordia.ca/search/c?SEARCH=GF 80 A24 1991","x, 212 leaves : ill., maps ; 29 cm.","Theses (M.A.)"
"Adams","Susan J","Cultural objects and creative interaction : radio drama, gender and the listener ","1991","http://clues.concordia.ca/search/c?SEARCH=PN 1991.65 A3 1991","viii, 123 leaves ; 29 cm.","Theses (M.A.)"
"Adams","Elizabeth A","The role of playful humor in art therapy ","2002","http://clues.concordia.ca/search/c?SEARCH=RC 489 A7C6+ 2002 no.1","vii, 154 leaves : ill. ; 29 cm.","Research papers (M.A.)"
"Adams","Elizabeth","""The location. The luxury. The life."" : deconstructing the rhetoric of Intrawest Resort real estate ","2004","http://clues.concordia.ca/search/c?SEARCH=HD 1390 A33 2004","iv, 107 leaves ; 29 cm.","M.A."
"Adamson","Hugh Carswell","The concept of revelation as found in Islam and the Baha'i faith ","1974","http://clues.concordia.ca/search/c?SEARCH=BP 166.6 A33+","vii, 191 leaves : ill ; 29 cm.","Theses (M.A.)"
"Adcock","Mark R. A","Symbolic computation of electron-proton to slepton-squark scattering cross sections based on a left-right supersymmetric extension of the standard model ","1997","http://clues.concordia.ca/search/c?SEARCH=QC 174.17 S9A33 1997","ix, 112 leaves : ill. ; 29 cm.","Theses (M.Sc.)"
"Addario","Antonio d'","Conception et implantation d'un parc industriel dans la ville de Montréal ","1980","http://clues.concordia.ca/search/c?SEARCH=HC 118 M6D32+","vi, 46 leaves : ill., maps, plans (1 fold.) ; 29 cm.","Theses (M.Eng.)"
"Adel","Sam","A multi-expert system for classifying unconstrained handwritten numerals ","1993","http://clues.concordia.ca/search/c?SEARCH=Q 327 A28 1993","x, 75 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Ades","Tracey","The effects of brand name and country name on consumer evaluation of fashion products ","1995","http://clues.concordia.ca/search/c?SEARCH=HF 5415.32 A24 1995","viii, 137 leaves ; 29 cm.","Theses (M.Sc.Admin.)"
"Adessky","Rhonda S","Predicting teacher ratings of aggression from child care experience of kindergarten children ","1991","http://clues.concordia.ca/search/c?SEARCH=BF 723 A35A3 1991","ix, 97 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Adessky","Rhonda S","The relationship of group and family experiences to peer-rated aggression and popularity in middle class kindergarten children ","1996","http://clues.concordia.ca/search/c?SEARCH=HQ 759.48 A24 1996","xi, 206 leaves ; 29 cm.","Theses (Ph.D.)"
"Adewusi","Surajudeen Adedotun","Distributed biodynamic characteristics of the human hand-arm system coupled with vibrating handles and power tools ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66M43P 2009 A34","xxiv, 259 leaves : ill. ; 29 cm.","Ph.D."
"Adigeh","Serkalem Melese","Separation of superimposed digital communication and speech signals : time-varying ARMA approach ","1996","http://clues.concordia.ca/search/c?SEARCH=TK 5102.9 A35 1996","xii, 93 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Adjemian","Aram","Canada's moral mandate for Armenia : sparking humanitarian and political interest, 1880-1923 ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66H57M 2007 A35","v, 105 leaves : ill. ; 29 cm.","M.A."
"Adl-Zarabi","Kourosh","Existence and properties of absolutely continuous invariant measures for higher dimensional chaotic transformations ","1996","http://clues.concordia.ca/search/c?SEARCH=QA 381 A24 1996","vii, 95 leaves ; 29 cm.","Theses (Ph.D.)"
"Adlam","Christopher","Seasonal and environmental variability of ground beetle (Coleoptera:Carabidae) assemblages at Mont St-Hilaire, QC ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B56M 2009 A35","vi, 50 leaves : col. ill. ; 29 cm.","M. Sc."
"Adler","Lillian","Motivational effects on time estimation and delay of gratification in obese and non-obese boys. --","1971","http://clues.concordia.ca/search/c?SEARCH=BF 199 A3","61 leaves.","Theses (M.A.)"
"Adler","Eric","Passages ","1977","http://clues.concordia.ca/search/c?SEARCH=PS 8551 D55P3+","130 leaves ; 29 cm.","Theses (M.A.)"
"Adler","Barbara","Egocentrism and interactive style related to differential peer experience in day care, nursery school and home-reared children ","1978","http://clues.concordia.ca/search/c?SEARCH=BF 723 E5A4+","78 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Adler","Perry S. J","Two-stage investigation of blood donors who experience vasovagal reactions : affective, coping, and physiological factors ","1988","http://clues.concordia.ca/search/c?SEARCH=BF 575 F2A22+ 1988","xiii, 178 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Adobor","Henry","Governing exchange in strategic alliances : the dynamics of interfirm trust ","1999","http://clues.concordia.ca/search/c?SEARCH=HD 69 S8A36 1999","xvi, 314 leaves ; 29 cm.","Theses (Ph.D.)"
"Aebtarm","Surath","Defects control charts for high-quality processes ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66I54M 2008 A33","x, 67 leaves : ill. ; 29 cm.","M.A. Sc."
"Afework","Yohannes","An analytical and experimental study of driver-seat-suspension systems ","1991","http://clues.concordia.ca/search/c?SEARCH=TL 257 A34 1991","xxvi, 220 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Affleck","Sara Jane","Benefits of doubt  ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E54M 2007 A44","iii, 180 leaves ; 29 cm.","M.A."
"Afonso","Manuel F. R","Ride dynamic analysis of tracked vehicles ","1989","http://clues.concordia.ca/search/c?SEARCH=TL 243 A35+ 1989","xxv, 244 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Afonso","Veronica M","Hormonal, neural, and experiential regulation of female-male mounting in the rat ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66P79P 2007 A36","xxii, 229 leaves : ill. ; 29 cm.","Ph. D."
"Afrakhteh","Vahid","Analysis of TCP and UDP performance over static wireless multi-hop ad-hoc LANs ","2005","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2005 A37","x, 118 leaves : ill. ; 29 cm.","M.A. Sc."
"Afram","Alfred","Uplift capacity of battered piles in sand ","1984","http://clues.concordia.ca/search/c?SEARCH=TA 780 A37+ 1984","xiii, 92 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Afsharnejad","Fatemeh","Quantum stochastic processes and dynamical semi-groups ","1984","http://clues.concordia.ca/search/c?SEARCH=QA 274 A47+ 1984","iv, 69 leaves ; 29 cm.","Theses (M.Sc.)"
"Aftonomos","Anthony T","The stream of time irresistible : Byzantine civilization in the modern popular imagination ","2005","http://clues.concordia.ca/search/c?SEARCH=DF 531 A38 2005","xv, 324 leaves : ill. ; 29 cm.","Ph. D."
"Agar","Nathalie Yvonne Rachel","Identification of molecular determinants of substrate specificity and activity for biphenyl dioxygenase from Comamonas testosteroni B-356 ","2002","http://clues.concordia.ca/search/c?SEARCH=TD 192.5 A33 2002","xx, 237 leaves : col. ill. ; 29 cm.","Theses (Ph.D.)"
"Agarwal","Rajeev","Parameter retrieval of auditory evoked brainstem response using constrained adaptive notch filters and cross-correlation techniques ","1991","http://clues.concordia.ca/search/c?SEARCH=RF 294.5 E87A34 1991","xii, 163 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Agarwal","Rajeev","Enhancement techniques of short-duration narrowband signals with application to ABR audiometry ","1995","http://clues.concordia.ca/search/c?SEARCH=TK 5102.5 A38 1995","xv, 158 leaves ; 29 cm.","Theses (Ph.D.)"
"Agarwal","Anjali","A unified approach for fault-tolerance in communication protocols ","1995","http://clues.concordia.ca/search/c?SEARCH=TK 5105.55 A34 1995","xi, 156 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Agelidis","Vassilios G","Zero voltage switching pulse width modulated inverter topologies ","1991","http://clues.concordia.ca/search/c?SEARCH=TK 7872 C8A35 1991","xviii, 147 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Aghasafari","Mohammad Ali","Calculation of the droop parameters for microgrids with different inverters' ratings and feeders' lengths ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2010 A34 ","xvi, 95 leaves : ill. ; 29 cm.","M.A. Sc."
"Agopyan","Jirayr","Microcomputer control of an above elbow prosthesis ","1983","http://clues.concordia.ca/search/c?SEARCH=RD 756 A46+ 1983","viii, 79 leaves : ill. ; 29 cm.","Theses (M.Eng.)"
"Agostino","Andrew","Production and evaluation of an ETV programme about adolescent peer pressure ","1988","http://clues.concordia.ca/search/c?SEARCH=LB 1044.75 A35+ 1988","vii, 102 p. : ill. ; 29 cm. + 1 videocassette.","Theses (M.A.)"
"Agostino","Andrew","Qualitative analysis of mindful interaction and cognitive residue in pre-tertiary media education ","2001","http://clues.concordia.ca/search/c?SEARCH=P 91.3 A46 2001","vii, 361 leaves ; 29 cm.","Theses (Ph.D.)"
